Sample,Site,Location,State,Country,Lat,Long,Date,Stage,Assignment,Consistency,Dataset,Notes
18N00850,QB,Normandin,Quebec,Canada,48.6126,-72.50675,6/14/18,Breeding,NT,1,LOO,
18N00851,QB,Normandin,Quebec,Canada,48.61108,-72.51052,6/14/18,Breeding,NT,1,LOO,
18N00852,QB,Normandin,Quebec,Canada,48.61108,-72.51052,6/14/18,Breeding,NT,1,LOO,
18N00853,QB,Normandin,Quebec,Canada,48.60759,-72.51804,6/14/18,Breeding,NT,1,LOO,
18N00854,QB,Normandin,Quebec,Canada,48.40567,-72.08019,6/17/18,Breeding,NT,1,LOO,
18N00855,QB,Normandin,Quebec,Canada,48.40209,-72.07268,6/17/18,Breeding,NT,1,LOO,
20N002001,SD,Spearfish,South Dakota,USA,44.389778,-103.970779,6/17/20,Breeding,BR,1,Individual,
20N002002,SD,Spearfish,South Dakota,USA,44.400866,-103.976246,6/17/20,Breeding,BR,1,Individual,
20N002003,SD,Spearfish,South Dakota,USA,44.400866,-103.976246,6/17/20,Breeding,BR,1,Individual,
20N002004,SD,Spearfish,South Dakota,USA,44.400866,-103.976246,6/17/20,Breeding,BR,1,Individual,
20N002005,SD,Spearfish,South Dakota,USA,44.400866,-103.976246,6/17/20,Breeding,BR,1,Individual,
20N002006,SD,Spearfish,South Dakota,USA,44.400866,-103.976246,6/17/20,Breeding,BR,1,Individual,
20N002007,SD,Spearfish,South Dakota,USA,44.400866,-103.976246,6/17/20,Breeding,BR,1,Individual,
20N002008,SD,Spearfish,South Dakota,USA,44.424195,-103.973325,6/18/20,Breeding,BR,1,Individual,
20N002009,SD,Spearfish,South Dakota,USA,44.424195,-103.973325,6/18/20,Breeding,BR,1,LOO,
20N002010,SD,Spearfish,South Dakota,USA,44.424195,-103.973325,6/18/20,Breeding,BR,1,LOO,
20N002011,SD,Spearfish,South Dakota,USA,44.424195,-103.973325,6/18/20,Breeding,BR,1,LOO,
20N002012,SD,Spearfish,South Dakota,USA,44.424195,-103.973325,6/18/20,Breeding,BR,1,LOO,
20N002013,SD,Spearfish,South Dakota,USA,44.424195,-103.973325,6/18/20,Breeding,BR,1,LOO,
20N002014,SD,Spearfish,South Dakota,USA,44.424195,-103.973325,6/18/20,Breeding,BR,1,LOO,
20N002015,SD,Spearfish,South Dakota,USA,44.460442,-103.952041,6/18/20,Breeding,BR,1,LOO,
20N002016,SD,Spearfish,South Dakota,USA,44.460442,-103.952041,6/18/20,Breeding,BR,1,LOO,
20N002017,SD,Spearfish,South Dakota,USA,44.468531,-103.94308,6/19/20,Breeding,BR,1,LOO,
20N002019,SD,Spearfish,South Dakota,USA,44.468531,-103.94308,6/19/20,Breeding,BR,1,LOO,
20N002020,SD,Spearfish,South Dakota,USA,44.468531,-103.94308,6/19/20,Breeding,BR,1,LOO,
SERU3011,SK,Mayview,Saskatchewan,Canada,53.57,-106.22,NA,Breeding,WB,1,LOO,
SERU3017,SK,Mayview,Saskatchewan,Canada,53.57,-106.22,NA,Breeding,WB,1,LOO,
SERU3019,SK,Mayview,Saskatchewan,Canada,53.57,-106.22,NA,Breeding,WB,1,Individual,
SERU3025,SK,Mayview,Saskatchewan,Canada,53.57,-106.22,NA,Breeding,WB,1,LOO,
SERU3038,SK,Mayview,Saskatchewan,Canada,53.57,-106.22,NA,Breeding,WB,1,LOO,
SERU3046,SK,Mayview,Saskatchewan,Canada,53.57,-106.22,NA,Breeding,WB,1,Individual,
SERU3047,SK,Mayview,Saskatchewan,Canada,53.57,-106.22,NA,Breeding,WB,1,LOO,
SERU3048,SK,Mayview,Saskatchewan,Canada,53.57,-106.22,NA,Breeding,WB,1,LOO,
SERU3056,SK,Mayview,Saskatchewan,Canada,53.57,-106.22,NA,Breeding,WB,1,LOO,
00N0043,BE,San Ignacio,Cayo,Belize,17.153562,-89.078602,1/4/00,Wintering,WB,0.9,Individual,
00N0047,BE,San Ignacio,Cayo,Belize,17.153562,-89.078602,1/5/00,Wintering,WB,1,Individual,
00N0066,BE,San Ignacio,Cayo,Belize,17.153562,-89.078602,1/10/00,Wintering,WB,0.8,Individual,
00N0089,BE,San Ignacio,Cayo,Belize,17.153562,-89.078602,1/16/00,Wintering,WB,1,Individual,
00N0103,BE,San Ignacio,Cayo,Belize,17.153562,-89.078602,1/8/00,Wintering,WB,1,Individual,
04N8970,CR1,Iguanita,Guanacaste,Costa Rica,10.616667,-85.616667,12/8/04,Wintering,WB,1,Individual,
05N0710,CR1,Iguanita,Guanacaste,Costa Rica,10.616667,-85.616667,11/30/05,Wintering,WB,1,Individual,
05N0711,CR1,Iguanita,Guanacaste,Costa Rica,10.616667,-85.616667,12/22/05,Wintering,WB,1,Individual,
06N0178,CR1,Iguanita,Guanacaste,Costa Rica,10.616667,-85.616667,1/17/06,Wintering,WB,1,Individual,
06N0179,CR1,Iguanita,Guanacaste,Costa Rica,10.616667,-85.616667,1/17/06,Wintering,WB,1,Individual,
06N8302,CR1,Iguanita,Guanacaste,Costa Rica,10.616667,-85.616667,12/21/06,Wintering,WB,1,Individual,
08N37465,CR1,Naranjo,Guanacaste,Costa Rica,10.783333,-85.666667,1/23/08,Wintering,WB,0.8,Individual,
08N37711,CR1,Iguanita,Guanacaste,Costa Rica,10.616667,-85.616667,12/15/08,Wintering,WB,1,Individual,
08N37794,CR1,Naranjo,Guanacaste,Costa Rica,10.783333,-85.666667,12/31/08,Wintering,WB,1,Individual,
08N37960,CR1,Iguanita,Guanacaste,Costa Rica,10.616667,-85.616667,1/19/09,Wintering,WB,1,Individual,
08N38132,CR1,Iguanita,Guanacaste,Costa Rica,10.616667,-85.616667,2/18/09,Wintering,WB,1,Individual,
09N2509,CR1,Tamarindo,Guanacaste,Costa Rica,10.316667,-85.833333,11/17/09,Wintering,ST,1,Individual,
09N2875,CR1,Tamarindo,Guanacaste,Costa Rica,10.316667,-85.833333,2/7/10,Wintering,WB,1,Individual,
03N0947,CR2,Agua Buena,Puntarenas,Costa Rica,8.754194245,-82.92589174,2/24/03,Wintering,WB,1,Individual,
07N65812,CR2,Agua Buena,Puntarenas,Costa Rica,8.816145645,-82.92338203,2/18/09,Wintering,ST,1,Individual,
09N0736,CR2,Agua Buena,Puntarenas,Costa Rica,8.79056072,-82.9664433,2/11/09,Wintering,ST,1,Individual,
09N10529,CR2,Agua Buena,Puntarenas,Costa Rica,8.754194245,-82.92589174,3/7/09,Wintering,ST,1,Individual,
09N10565,CR2,Agua Buena,Puntarenas,Costa Rica,8.816145645,-82.92338203,3/1/09,Wintering,ST,1,Individual,
nzpcuba277,CU,Boquer—n,Guant‡namo,Cuba,19.9281,-75.12105,1/25/04,Wintering,NT,1,Individual,
