Sample,Site,Location,State,Country,Lat,Long,Date,Stage,Assignment,Consistency,Dataset
1710-20636,NV1,ash_meadows,Nevada,USA,36.48333,-116.333,7/10/98,Breeding,SW,1,Individual
1710-46393,NV1,ash_meadows,Nevada,USA,36.48333,-116.333,7/12/99,Breeding,SW,1,Individual
1590-97336,NV2,pahranagat_lake,Nevada,USA,37.3167,-115.133,6/15/97,Breeding,SW,1,Individual
1590-97337,NV2,pahranagat_lake,Nevada,USA,37.3167,-115.133,6/15/97,Breeding,SW,1,Individual
1590-97338,NV2,pahranagat_lake,Nevada,USA,37.3167,-115.133,6/16/97,Breeding,SW,1,Individual
1590-97339,NV2,pahranagat_lake,Nevada,USA,37.3167,-115.133,6/16/97,Breeding,SW,1,Individual
1590-97340,NV2,pahranagat_lake,Nevada,USA,37.3167,-115.133,6/16/97,Breeding,SW,1,Individual
1590-97341,NV2,pahranagat_lake,Nevada,USA,37.3167,-115.133,6/16/97,Breeding,SW,1,Individual
1740-91785,NY,black_creek,New York,USA,42.65,-73.9333,6/28/98,Breeding,EST,1,LOO
1740-91786,NY,black_creek,New York,USA,42.65,-73.9333,6/28/98,Breeding,EST,1,LOO
1740-91788,NY,jen_owen,New York,USA,43.375,-73.7,6/30/98,Breeding,EST,1,LOO
1740-91789,NY,jen_owen,New York,USA,43.375,-73.7,7/1/98,Breeding,EST,1,LOO
1740-91790,NY,jen_owen,New York,USA,43.375,-73.7,7/1/98,Breeding,EST,1,LOO
1710-20366,OR1,malheur,Oregon,USA,42.8333,-118.867,7/10/98,Breeding,PNW_INW,1,Individual
1710-46312,OR1,malheur,Oregon,USA,42.8333,-118.867,7/10/98,Breeding,PNW_INW,1,Individual
1740-91796,OR1,malheur,Oregon,USA,42.8333,-118.867,7/10/98,Breeding,PNW_INW,1,Individual
1740-91797,OR1,malheur,Oregon,USA,42.8333,-118.867,7/10/98,Breeding,PNW_INW,1,Individual
1740-91800,OR1,malheur,Oregon,USA,42.8333,-118.867,7/10/98,Breeding,PNW_INW,1,Individual
1710-20532,OR2,hunt_creek,Oregon,USA,46.1375,-123.452,7/18/99,Breeding,PNW_INW,1,LOO
1710-20533,OR2,hunt_creek,Oregon,USA,46.1375,-123.452,7/18/99,Breeding,PNW_INW,1,LOO
1710-20536,OR2,austoria_airport,Oregon,USA,46.1503,-123.877,7/20/99,Breeding,PNW_INW,1,LOO
1710-20537,OR2,austoria_airport,Oregon,USA,46.1503,-123.877,7/20/99,Breeding,PNW_INW,1,LOO
1710-20538,OR2,austoria_airport,Oregon,USA,46.1503,-123.877,7/20/99,Breeding,PNW_INW,1,LOO
1710-20516,OR3,jones_creek,Oregon,USA,43.0394,-123.973,7/15/99,Breeding,PNW_INW,1,LOO
1710-20517,OR3,jones_creek,Oregon,USA,43.0394,-123.973,7/15/99,Breeding,PNW_INW,1,Individual
1710-20519,OR3,jones_creek,Oregon,USA,43.0394,-123.973,7/15/99,Breeding,PNW_INW,1,LOO
1710-20520,OR3,jones_creek,Oregon,USA,43.0394,-123.973,7/15/99,Breeding,PNW_INW,1,LOO
1710-20521,OR3,jones_creek,Oregon,USA,43.0394,-123.973,7/15/99,Breeding,PNW_INW,1,Individual
1590-97272,OR4,klamath_lake,Oregon,USA,42.5317,-121.964,7/13/99,Breeding,PNW_INW,1,Individual
1710-20509,OR4,klamath_lake,Oregon,USA,42.5317,-121.964,7/13/99,Breeding,PNW_INW,1,Individual
1710-20512,OR4,klamath_lake,Oregon,USA,42.5317,-121.964,7/13/99,Breeding,PNW_INW,1,Individual
1710-20513,OR4,klamath_lake,Oregon,USA,42.5317,-121.964,7/13/99,Breeding,PNW_INW,1,Individual
1710-20527,OR5,priem_rd,Oregon,USA,44.7821,-123.377,7/18/99,Breeding,PNW_INW,1,LOO
1710-20528,OR5,priem_rd,Oregon,USA,44.7821,-123.377,7/18/99,Breeding,PNW_INW,1,LOO
1710-20529,OR5,priem_rd,Oregon,USA,44.7821,-123.377,7/18/99,Breeding,PNW_INW,1,LOO
1710-20530,OR5,priem_rd,Oregon,USA,44.7821,-123.377,7/18/99,Breeding,PNW_INW,1,LOO
1710-20531,OR5,priem_rd,Oregon,USA,44.7821,-123.377,7/18/99,Breeding,PNW_INW,1,LOO
2760-18636,PA,bath,Pennsylvania,USA,40.7544,-75.4532,6/23/15,Breeding,EST,1,Individual
2760-18638,PA,bath,Pennsylvania,USA,40.7544,-75.4532,6/23/15,Breeding,EST,1,LOO
2760-18641,PA,orefield,Pennsylvania,USA,40.6551,-75.669,6/25/15,Breeding,EST,1,LOO
2760-18647,PA,orefield,Pennsylvania,USA,40.6551,-75.669,6/30/15,Breeding,EST,1,Individual
2760-18648,PA,bath,Pennsylvania,USA,40.74276,-75.3356,6/30/15,Breeding,EST,1,Individual
2760-18653,PA,easton,Pennsylvania,USA,40.6927,-75.2946,7/3/15,Breeding,EST,1,Individual
2760-18654,PA,easton,Pennsylvania,USA,40.6927,-75.2946,7/4/15,Breeding,EST,1,Individual
2760-18657,PA,orefield,Pennsylvania,USA,40.6541,-75.6291,7/11/15,Breeding,EST,1,LOO
2760-18659,PA,easton,Pennsylvania,USA,40.6927,-75.2946,7/12/15,Breeding,EST,1,Individual
2760-18660,PA,easton,Pennsylvania,USA,40.6927,-75.2946,7/14/15,Breeding,EST,1,Individual
2760-18662,PA,orefield,Pennsylvania,USA,40.6551,-75.669,7/17/15,Breeding,EST,1,Individual
2760-18663,PA,orefield,Pennsylvania,USA,40.6551,-75.669,7/17/15,Breeding,EST,1,Individual
1740-51656,SD1,little_white_river,South Dakota,USA,43.1667,-101.533,6/19/00,Breeding,EST,1,Individual
1740-51657,SD1,little_white_river,South Dakota,USA,43.1667,-101.533,6/19/00,Breeding,EST,1,Individual
1740-51658,SD1,little_white_river,South Dakota,USA,43.1667,-101.533,6/19/00,Breeding,EST,1,Individual
1740-51659,SD1,little_white_river,South Dakota,USA,43.1667,-101.533,6/19/00,Breeding,EST,1,Individual
1740-51660,SD1,little_white_river,South Dakota,USA,43.1667,-101.533,6/19/00,Breeding,EST,1,Individual
1740-51664,SD2,waubay,South Dakota,USA,45.4042,-97.3333,6/20/00,Breeding,EST,1,Individual
1740-51665,SD2,waubay,South Dakota,USA,45.4042,-97.3333,6/20/00,Breeding,EST,1,Individual
1740-51666,SD2,waubay,South Dakota,USA,45.4042,-97.3333,6/20/00,Breeding,EST,1,Individual
1740-51667,SD2,waubay,South Dakota,USA,45.4042,-97.3333,6/20/00,Breeding,EST,1,Individual
1740-51612,TN1,mountain_city,Tennessee,USA,36.3942,-81.8519,6/19/00,Breeding,EST,1,LOO
1740-51613,TN1,mountain_city,Tennessee,USA,36.3942,-81.8519,6/19/00,Breeding,EST,1,LOO
1740-51615,TN1,mountain_city,Tennessee,USA,36.3942,-81.8519,6/19/00,Breeding,EST,1,Individual
1740-51616,TN1,mountain_city,Tennessee,USA,36.3942,-81.8519,6/19/00,Breeding,EST,1,LOO
1740-51601,TN2,cross_creek,Tennessee,USA,36.5,-87.7874,6/16/00,Breeding,EST,1,Individual
1740-51604,TN2,cross_creek,Tennessee,USA,36.5,-87.7874,6/16/00,Breeding,EST,1,Individual
1740-51605,TN2,cross_creek,Tennessee,USA,36.5,-87.7874,6/16/00,Breeding,EST,1,Individual
1740-91954,UT1,st_george,Utah,USA,37.1083,-113.738,8/5/98,Breeding,SW,1,Individual
1740-91955,UT1,st_george,Utah,USA,37.1083,-113.738,8/5/98,Breeding,SW,1,Individual
1740-91956,UT1,st_george,Utah,USA,37.1083,-113.738,8/5/98,Breeding,SW,1,Individual
1740-91957,UT1,st_george,Utah,USA,37.1083,-113.738,8/5/98,Breeding,SW,1,Individual
1740-51684,UT2,fish_creek,Utah,USA,39.7751,-111.204,7/7/02,Breeding,PNW_INW,1,Individual
1740-51687,UT2,fish_creek,Utah,USA,39.7751,-111.204,7/8/02,Breeding,PNW_INW,1,Individual
1740-91921,UT2,fish_creek,Utah,USA,39.7751,-111.204,6/28/98,Breeding,PNW_INW,1,Individual
1740-91922,UT2,fish_creek,Utah,USA,39.7751,-111.204,6/28/98,Breeding,PNW_INW,1,Individual
1740-91923,UT2,fish_creek,Utah,USA,39.7751,-111.204,6/28/98,Breeding,PNW_INW,1,Individual
1740-51822,UT3,white_river,Utah,USA,40.6725,-109.677,6/30/01,Breeding,PNW_INW,1,Individual
1740-51825,UT3,white_river,Utah,USA,40.6725,-109.677,6/30/01,Breeding,PNW_INW,1,Individual
1740-51826,UT3,white_river,Utah,USA,40.6725,-109.677,6/30/01,Breeding,PNW_INW,1,Individual
1740-51827,UT3,white_river,Utah,USA,40.6725,-109.677,6/30/01,Breeding,PNW_INW,1,Individual
1740-51828,UT3,white_river,Utah,USA,40.6725,-109.677,6/30/01,Breeding,PNW_INW,1,Individual
1590-27284,WA,fork_clearcut,Washington,USA,47.9678,-124.401,NA,Breeding,PNW_INW,1,LOO
1710-20351,CR1,santa_cruz,Guanacaste,Costa Rica,10.329,-85.6495,3/18/99,Wintering,PNW_INW,1,Individual
1710-20352,CR1,santa_cruz,Guanacaste,Costa Rica,10.329,-85.6495,3/18/99,Wintering,SW,1,Individual
1710-20353,CR1,santa_cruz,Guanacaste,Costa Rica,10.329,-85.6495,3/18/99,Wintering,SW,1,Individual
